# 2025-02-06 18:54:31.750665
# gamma = 5/3
# xi0 = 1.151666417967 (E_error=1.92e-12)
# Pc = 0.3061936398892737
# xi  a  v  p  u/u1  P/P1  T/T1
0.9686664 2.1697991e-01 8.7346416e-01 6.2175568e-01 7.3467055e-01 4.3986038e-01 2.0271940e+00
0.9676664 2.1548490e-01 8.7298881e-01 6.2145853e-01 7.3351271e-01 4.3874289e-01 2.0360726e+00
0.9666664 2.1400219e-01 8.7251582e-01 6.2117257e-01 7.3235768e-01 4.3763508e-01 2.0450029e+00
0.9656664 2.1253165e-01 8.7204520e-01 6.2089774e-01 7.3120545e-01 4.3653687e-01 2.0539852e+00
0.9646664 2.1107316e-01 8.7157693e-01 6.2063398e-01 7.3005602e-01 4.3544817e-01 2.0630200e+00
0.9636664 2.0962659e-01 8.7111102e-01 6.2038123e-01 7.2890936e-01 4.3436887e-01 2.0721076e+00
0.9626664 2.0819182e-01 8.7064745e-01 6.2013942e-01 7.2776548e-01 4.3329889e-01 2.0812484e+00
0.9616664 2.0676871e-01 8.7018622e-01 6.1990850e-01 7.2662435e-01 4.3223814e-01 2.0904427e+00
0.9606664 2.0535715e-01 8.6972732e-01 6.1968841e-01 7.2548597e-01 4.3118653e-01 2.0996909e+00
0.9596664 2.0395701e-01 8.6927076e-01 6.1947909e-01 7.2435033e-01 4.3014397e-01 2.1089933e+00
0.9586664 2.0256818e-01 8.6881651e-01 6.1928049e-01 7.2321742e-01 4.2911038e-01 2.1183504e+00
0.9576664 2.0119054e-01 8.6836459e-01 6.1909254e-01 7.2208722e-01 4.2808566e-01 2.1277624e+00
0.9566664 1.9982396e-01 8.6791497e-01 6.1891520e-01 7.2095973e-01 4.2706974e-01 2.1372299e+00
0.9556664 1.9846834e-01 8.6746767e-01 6.1874840e-01 7.1983493e-01 4.2606252e-01 2.1467531e+00
0.9546664 1.9712356e-01 8.6702266e-01 6.1859210e-01 7.1871282e-01 4.2506393e-01 2.1563324e+00
0.9536664 1.9578951e-01 8.6657995e-01 6.1844625e-01 7.1759338e-01 4.2407389e-01 2.1659683e+00
0.9526664 1.9446608e-01 8.6613953e-01 6.1831078e-01 7.1647660e-01 4.2309230e-01 2.1756611e+00
0.9516664 1.9315316e-01 8.6570139e-01 6.1818564e-01 7.1536248e-01 4.2211909e-01 2.1854113e+00
0.9506664 1.9185064e-01 8.6526553e-01 6.1807080e-01 7.1425099e-01 4.2115419e-01 2.1952191e+00
0.9496664 1.9055841e-01 8.6483194e-01 6.1796619e-01 7.1314213e-01 4.2019751e-01 2.2050851e+00
0.9486664 1.8927637e-01 8.6440061e-01 6.1787177e-01 7.1203590e-01 4.1924897e-01 2.2150095e+00
0.9476664 1.8800442e-01 8.6397154e-01 6.1778749e-01 7.1093226e-01 4.1830849e-01 2.2249929e+00
0.9466664 1.8674245e-01 8.6354472e-01 6.1771330e-01 7.0983123e-01 4.1737601e-01 2.2350356e+00
0.9456664 1.8549035e-01 8.6312015e-01 6.1764915e-01 7.0873278e-01 4.1645145e-01 2.2451380e+00
0.9446664 1.8424804e-01 8.6269782e-01 6.1759500e-01 7.0763691e-01 4.1553472e-01 2.2553006e+00
0.9436664 1.8301541e-01 8.6227772e-01 6.1755080e-01 7.0654360e-01 4.1462576e-01 2.2655238e+00
0.9426664 1.8179236e-01 8.6185985e-01 6.1751650e-01 7.0545284e-01 4.1372450e-01 2.2758079e+00
0.9416664 1.8057880e-01 8.6144420e-01 6.1749207e-01 7.0436462e-01 4.1283085e-01 2.2861534e+00
0.9406664 1.7937463e-01 8.6103077e-01 6.1747746e-01 7.0327893e-01 4.1194476e-01 2.2965608e+00
0.9396664 1.7817976e-01 8.6061954e-01 6.1747262e-01 7.0219576e-01 4.1106614e-01 2.3070305e+00
0.9386664 1.7699410e-01 8.6021051e-01 6.1747751e-01 7.0111510e-01 4.1019494e-01 2.3175628e+00
0.9376664 1.7581754e-01 8.5980367e-01 6.1749209e-01 7.0003693e-01 4.0933107e-01 2.3281583e+00
0.9366664 1.7465001e-01 8.5939902e-01 6.1751632e-01 6.9896125e-01 4.0847448e-01 2.3388174e+00
0.9356664 1.7349141e-01 8.5899655e-01 6.1755015e-01 6.9788805e-01 4.0762509e-01 2.3495405e+00
0.9346664 1.7234166e-01 8.5859626e-01 6.1759356e-01 6.9681730e-01 4.0678284e-01 2.3603281e+00
0.9336664 1.7120066e-01 8.5819813e-01 6.1764649e-01 6.9574901e-01 4.0594767e-01 2.3711805e+00
0.9326664 1.7006833e-01 8.5780216e-01 6.1770891e-01 6.9468316e-01 4.0511949e-01 2.3820984e+00
0.9316664 1.6894458e-01 8.5740835e-01 6.1778079e-01 6.9361974e-01 4.0429826e-01 2.3930821e+00
0.9306664 1.6782934e-01 8.5701668e-01 6.1786207e-01 6.9255874e-01 4.0348391e-01 2.4041321e+00
0.9296664 1.6672252e-01 8.5662715e-01 6.1795274e-01 6.9150014e-01 4.0267637e-01 2.4152489e+00
0.9286664 1.6562403e-01 8.5623975e-01 6.1805274e-01 6.9044394e-01 4.0187558e-01 2.4264329e+00
0.9276664 1.6453379e-01 8.5585448e-01 6.1816205e-01 6.8939013e-01 4.0108148e-01 2.4376846e+00
